,title,ASL,Auslan,BSL,ISL
0,Frozen,True,False,True,False
1,The Incredibles ,True,False,False,False
2,Moana,True,False,False,True
3,The Little Mermaid ,True,False,True,False
4,Toy Story,True,False,True,False
5,The Nightmare Before Christmas,True,False,False,False
6,Tangled,True,False,True,False
7,Home Alone,True,False,False,False
8,Coco,True,False,False,False
9,Atlantis,True,False,False,False
10,Inside Out,True,False,True,False
11,Once Upon a Snowman,True,False,False,False
12,Frozen 2,True,False,False,False
13,Brave ,True,False,False,False
14,Soul,True,False,False,False
15,Cinderella,True,False,False,False
16,Ratatouille ,True,False,True,False
17,Cars 2,True,False,False,False
18,Finding Nemo,True,False,True,False
19,Turning Red,True,False,False,False
20,Ice Age,True,False,False,False
21,Chicken Little,True,False,False,False
22,"Monsters, Inc. ",True,False,False,False
23,Pirates of the Caribbean: The Curse of the Black Pearl,True,False,False,False
24,Treasure Planet,True,False,False,False
25,Cruella,True,False,False,False
26,A Wrinkle In Time,True,False,False,False
27,Hercules,True,False,False,False
28,Pinocchio (2022),True,False,False,False
29,Up,True,False,True,False
30,101 Dalmatians,True,False,False,False
31,Halloweentown,True,False,False,False
32,Hocus Pocus ,True,False,False,False
33,Frankenweenie,True,False,False,False
34,Hocus Pocus 2,True,False,False,False
35,Holes,True,False,False,False
36,The Parent Trap (1998),True,False,True,False
37,A Christmas Carol,True,False,False,False
38,Miracle on 34th Street,True,False,False,False
39,The Santa Clause,True,False,False,False
40,The Muppet Christmas Carol,True,False,False,False
41,The Sound of Music,True,False,False,False
42,Zootopia,True,False,False,False
43,A Bug's Life,True,False,False,False
44,Avatar,True,False,False,False
45,Black Panther ,True,False,False,False
46,Princess Diaries ,True,False,False,False
47,Zombies,True,False,False,False
48,Enchanted,True,False,False,False
49,Peter Pan,True,False,False,False
50,Mickey: The Story of a Mouse,True,False,False,False
51,Wall-E,True,False,False,False
52,Rio,True,False,False,False
53,Encanto,True,False,False,False
54,The Greatest Showman ,True,False,False,False
55,Aladdin,True,False,False,True
56,Ciao Alberto,True,False,False,False
57,The Emperor's New Groove,True,False,False,False
58,The Princess and the Frog,True,False,False,False
59,Spiderman: Homecoming,True,False,False,False
60,Cars,True,False,False,False
61,Mulan,True,False,False,False
62,Black Panther: Wakanda Forever ,True,False,False,False
63,Iron Man,True,False,False,False
64,Tinker Bell ,True,False,False,False
65,Wreck-It Ralph,True,False,False,False
66,Big Hero 6,True,False,False,False
67,The Little Mermaid (2023),True,False,False,False
68,Mr. Holland's Opus,True,False,False,False
69,Elemental,True,False,False,False
70,Inside Out,False,False,True,False
71,Baymax!,True,False,False,False
72,Mickey's Tale of Two Witches,True,False,False,False
73,Mickey and Friends Trick or Treat,True,False,False,False
74,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,True,False,False,False
75,The Simpson's Halloween of Horror,True,False,False,False
76,A Goofy Movie,True,False,False,False
77,Spooky Buddies,True,False,False,False
78,Bluey,True,False,False,False
79,Toy Story of Terror,True,False,False,False
